"id","name"
"1","Helmet"
"2","Lock"
"3","Lights"
"4","Mudguards"
"5","Panniers and luggage carriers"
"6","Reflective Clothing"
"7","Pump"
"8","Bell"
"9","Mirror"
"10","Cycle clips"
"11","Repair kits"
"12","Accessories"
"13","Reflectors"
